what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1475762815518
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1475762815593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762817620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762818643
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475762820223
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475762825820
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475762826191
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475762829305
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475762830256
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475762831335
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475762832437
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475762832912
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475762833379
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475762833797
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475762834129
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1475762844837
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1475762844896
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475762846439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762848570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762892410
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1475762894749
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762896623
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762911568
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475762912326
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475762913952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1475762922172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762923720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762954143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1475762955678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762956292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762990420
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1475762996957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475762997755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475763008433
