what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1475723005263
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1475723005366
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1475723006287
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475723007044
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723009062
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1475723009947
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723011037
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723013339
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723013877
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723014312
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723015598
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723016470
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475723022035
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475723024726
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475723025782
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475723026168
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475723026993
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475723028662
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475723028663
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475723030364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723032895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723112773
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475723113780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723118128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723147039
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723155585
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723158292
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723159243
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723163025
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723164025
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475723164492
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1475723166178
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1475723166230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723169171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723220035
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475723221351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723230700
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723262676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723263708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723281978
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1475723282115
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475723282230
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475723283601
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1475723285899
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1475723285959
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475723287325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723289498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723499916
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1475723501659
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1475723501734
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1475723503165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723505634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723535632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723537119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723589122
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723590761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723723964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723724371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475723791624
