what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1475849691016
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1475849691313
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1475849692664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849694042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849695245
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1475849695425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849697616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849698756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849699069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849700124
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849700951
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849701543
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849701971
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849702639
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1475849703653
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849705977
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849707517
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849708111
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849708418
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849708845
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849709376
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849710405
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849711040
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849712054
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475849717805
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475849723998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849725415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849727373
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1475849728637
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1475849728702
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475849729725
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1475849733515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849734715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849735487
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849736912
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849737554
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849737973
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849738399
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849747461
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849747887
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849748306
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849748758
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849749192
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849749635
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849750102
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1475849753635
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849754578
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849755075
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849755400
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849755629
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849755857
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849756117
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849756480
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849756692
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849756913
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849757110
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1475849758077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849761202
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1475849762274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849827951
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1475849829354
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1475849829425
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1475849830794
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475849831916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849846965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849847982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1475849850795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849852122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849895544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849899390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849922467
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475849923546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1475849943142
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475849944616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850801866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850804481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850822149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850826520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850876954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850886020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850888239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850897570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850912920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850918248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475850921908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1475850935440
