what,kind,bundleId,bundleVersion,description,time
started,bundle,org.maven.ide.eclipse.refactoring,0.10.2.20100623-1649,"org.maven.ide.eclipse.refactoring",1475935251464
started,bundle,org.python.pydev.parser,3.9.1.201501081637,"org.python.pydev.parser",1475935251495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1475935253256
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: mobileAnal",1475935253480
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1475935253499
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1475935253510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935254816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935255595
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475935256999
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475935260156
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475935262723
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475935267984
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475935269371
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1475935273772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935279828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935286472
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475935287641
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1475935288824
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935290459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935292029
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1475935292039
error,log,,,"JavaBuilder handling CoreException while cleaning: mobileAnal",1475935292055
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProgressView",1475935294379
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProgressView",1475935294414
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1475935294962
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475935295100
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475935297734
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1475935298678
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1475935298691
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1475935298775
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1475935299152
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1475935304064
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1475935306907
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475935310832
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1475935312613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.linkWithEditor",1475935312680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935314086
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935315540
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475935315552
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProgressView",1475935320104
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475935320352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935322712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935328553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935347075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935351141
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935354886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935362407
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475935370578
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1475935376723
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1475935378055
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1475935379475
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1475935380900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1475935381050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935382528
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1475935382559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935387904
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1475935389263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935390119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935391462
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1475935392417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935393004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935397674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1475935398185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935399442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475935401769
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475935401790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475938771958
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475938773210
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1475938776592
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1475938778901
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1475938778904
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1475938779529
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1475938779817
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1475938779826
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1475938787169
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1475938791264
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1475938791359
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1475938794018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1475938797777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1475938799384
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1475938801043
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1475938802417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475938806071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475938819886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475938824284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475938826339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475938827100
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475938848551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1475938855015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1475938855753
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1475938856853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1475938858670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1475938859644
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1475938860711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1475938861536
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1475938866297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475938870698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939519871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939521590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939571248
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1475939572255
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1475939573925
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1475939575532
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1475939575578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939579470
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1475939579499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939581744
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1475939582887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939583355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939584725
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1475939585203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939585866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939587218
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1475939587812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939588426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939589659
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1475939590100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939590884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939592099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1475939593283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939595133
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939595257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939601268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939943875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939945762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939946679
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1475939946698
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1475939946894
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1475939947697
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1475939947698
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1475939947700
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1475939947702
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1475939947704
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1475939947705
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1475939947706
